mood,rms,zcr,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B,bpm
sad,0.052000936,0.028407034266409267,612.7523989826266,859.9563186233108,-377.3575,159.6988,49.486553,23.350868,-3.8009255,3.4827862,6.459736,2.7797039,-3.1491053,-2.1284268,1.7536975,0.40526724,-2.5926297,0.1856776,0.088779464,0.1286691,0.19357191,0.35978812,0.33335257,0.38381633,0.28370458,0.22385247,0.41206384,0.22109777,0.23266442,83.35433467741936
sad,0.058225587,0.02901408663127413,607.3568674463695,890.842747043919,-356.9723,167.56201,45.34302,15.908784,-4.2785726,3.7639716,6.033746,1.8105143,-5.3764377,-7.649834,-1.2274703,-0.36891416,-3.0670388,0.17311577,0.08749858,0.11810531,0.20574038,0.49767938,0.3793476,0.38871568,0.47308016,0.2457922,0.23520365,0.16271718,0.22370268,112.34714673913044
sad,0.04528443,0.028608756636100387,629.351311405056,866.6906408361486,-386.8676,171.42413,45.895157,13.51818,-7.294788,7.984539,9.4990425,0.36297747,-8.293306,-2.7815044,2.6249151,-0.42926598,-5.380619,0.06696294,0.08516047,0.16015849,0.30023366,0.621977,0.4841218,0.44742095,0.34260654,0.17046803,0.19605349,0.096527435,0.09869444,198.76802884615384
sad,0.057207033,0.03627797719594594,710.8067015807824,966.6662267736486,-352.2611,160.65804,40.147545,18.583908,-6.2076583,-0.30296296,0.9849777,0.14702356,-3.4522564,-1.0626953,1.9701834,-2.5204036,-3.4657302,0.17673433,0.09616096,0.20002307,0.26591256,0.570461,0.27946925,0.23554547,0.20429786,0.17737715,0.350967,0.16026293,0.2287273,143.5546875
sad,0.06535016,0.026821534145752897,586.8604778328203,813.4396114864865,-357.13977,161.58838,50.663662,19.296782,-3.7655313,2.0450625,3.8025792,-0.015586116,-4.746942,-4.448378,0.064701155,2.1297696,-2.318911,0.09061236,0.15886928,0.23913121,0.23867866,0.42814997,0.3931182,0.45632774,0.4667865,0.24532239,0.20603722,0.13519002,0.08647076,99.38401442307692
sad,0.13105485,0.08100378559362935,2109.381153235389,4285.190561655405,-129.99937,103.66914,8.215174,30.740211,14.226415,-1.9385008,12.099374,-1.7503929,-8.786366,1.140847,-11.377468,0.02892224,-5.7128944,0.17187317,0.39099345,0.5950438,0.38236892,0.31600958,0.28725365,0.3299025,0.2861172,0.27625817,0.39771903,0.18198472,0.1270609,143.5546875
sad,0.14161119,0.07266529922779923,1961.2348122981973,4011.9932432432433,-125.02465,109.64566,7.252848,31.50196,13.081912,1.46589,8.852503,0.44537985,-8.723017,-1.2800845,-12.722371,0.21079002,-4.2117167,0.30532032,0.34643283,0.32041267,0.20267911,0.23914187,0.28096887,0.3884761,0.3797182,0.42305613,0.59476334,0.32626042,0.3053791,143.5546875
sad,0.14524396,0.07522359133687259,1930.9744392567247,3839.0209301097975,-131.14171,109.506065,3.6326811,26.16933,13.975812,-1.1441836,11.929764,-1.5437863,-6.3853536,2.8882442,-11.746779,-1.9814863,-6.5394506,0.08818227,0.26010785,0.5517296,0.33889624,0.3709681,0.2715542,0.27667567,0.25916967,0.24107409,0.44016823,0.22802624,0.12482496,143.5546875
sad,0.13177206,0.07238816662644787,1825.2698455481632,3716.971732474662,-133.62709,116.376854,2.9673645,28.558702,12.389001,-0.4266741,9.03014,-1.6698083,-10.570243,-2.4342964,-8.440043,3.1422994,-4.690737,0.20495196,0.33160168,0.32401752,0.20360938,0.31077954,0.34612077,0.40008557,0.30897924,0.359737,0.50046706,0.33327234,0.2777132,135.99917763157896
sad,0.13034031,0.062824263996139,1670.035123070684,3738.504935599662,-148.90663,108.18171,12.476329,33.55249,12.598114,10.923548,3.668384,5.8184886,-8.510978,-0.83228153,-13.823342,-6.1396437,-6.53883,0.14450464,0.2042437,0.27111727,0.23588528,0.48953664,0.37557688,0.35654137,0.31260917,0.3611609,0.6455054,0.32505304,0.14295644,143.5546875
sad,0.2232653,0.09011334157818533,2465.493053964079,5555.441696579392,-46.574657,80.76071,11.099625,37.109715,15.175389,9.396077,2.3634994,7.652958,-1.2718893,6.92751,-1.9729446,0.03888676,-7.544591,0.35932174,0.33430874,0.5004666,0.44603208,0.3243038,0.40025935,0.36303768,0.4891131,0.33265933,0.32703957,0.36415482,0.23333462,117.45383522727273
sad,0.25307223,0.08074173503861004,2311.942550544349,5335.245988175676,-32.290836,87.741425,14.681208,35.894543,9.717112,3.3099158,-0.65500194,7.695644,2.3188517,8.157994,-3.7059078,3.6776986,-2.4713285,0.53835875,0.32213625,0.44310987,0.29145977,0.20663217,0.28319165,0.35885072,0.63791126,0.41926765,0.3402766,0.42482397,0.33012658,117.45383522727273
sad,0.23245788,0.07281423443532818,2121.2951697397098,4994.871727195946,-47.503666,98.99932,17.210693,30.506079,12.9648075,5.9360833,0.51155096,7.599575,-1.9626622,2.8099177,-4.8969574,2.6404364,-4.6781073,0.55471724,0.37066627,0.38559303,0.30208114,0.29251805,0.4569651,0.31517518,0.34431204,0.31988385,0.4901771,0.5679569,0.47926834,117.45383522727273
sad,0.2337115,0.07999328848938224,2139.990032198909,4886.790012668919,-44.505707,99.094536,15.175322,30.09435,9.937479,6.9030485,0.90339947,4.0564885,-1.6835371,3.5279837,-3.3701582,7.642905,-4.6508217,0.62083286,0.43288845,0.41286242,0.27020153,0.2293865,0.37580156,0.2751986,0.38274494,0.30130124,0.33317643,0.50071305,0.428586,117.45383522727273
sad,0.24746513,0.08201051218629343,2213.465013830385,5191.414168074324,-29.951096,95.193306,14.239636,28.589941,8.263527,5.396325,-0.050426822,4.950463,-5.977248,4.3099246,-3.7004669,6.284574,-0.063427195,0.64162195,0.43687582,0.38423043,0.24929933,0.21623419,0.33668515,0.29005942,0.48206303,0.32496536,0.28852418,0.41759187,0.3686876,117.45383522727273
sad,0.14202188,0.0636707438465251,966.7849095887171,1508.030906883446,-192.93626,198.45068,-39.403793,-5.841352,-5.9656715,-7.972185,-5.987321,-3.3873196,-14.366863,-12.382709,-12.5025015,-0.92923313,-4.6902523,0.18674946,0.6039797,0.25716138,0.0952454,0.32406554,0.124998495,0.03900482,0.014344031,0.08479069,0.37544206,0.19414768,0.07045394,123.046875
sad,0.11879533,0.05980219896235521,973.5071674458078,1546.1504961993244,-214.33127,191.01263,-33.477753,-1.9765512,-7.099281,-9.73368,-9.574166,-6.3552856,-9.632365,-5.346905,-7.8166494,-1.409436,-6.3173776,0.11138863,0.37787902,0.1709006,0.10565274,0.3795572,0.21412967,0.06629479,0.120041475,0.135397,0.42017964,0.23400924,0.084667504,135.99917763157896
sad,0.08652768,0.05488733711389961,969.1449231518967,1571.4249894425675,-231.63043,186.76659,-24.290884,-0.59043944,0.68757355,-2.266669,-8.018917,-2.8825777,-9.4015465,-4.746499,-10.833296,-1.0367844,-7.699759,0.18188848,0.4240652,0.18955158,0.11734158,0.34361684,0.22244082,0.079478115,0.08683943,0.23228762,0.5279606,0.30993626,0.16668966,135.99917763157896
sad,0.09466043,0.060931467181467185,1108.9354899008008,1830.613254856419,-202.96634,171.29651,-28.805206,4.8790026,-13.589187,-5.7773495,-10.150615,-0.22728126,-6.216714,-0.2861594,-11.861276,-0.9058785,-9.52941,0.15045422,0.311858,0.29749548,0.19836703,0.3955446,0.18241544,0.070983335,0.14097707,0.20332877,0.4281913,0.17869312,0.17769115,129.19921875
sad,0.09557817,0.05539824143339769,1042.4198426714254,1724.901024070946,-204.61476,181.11534,-29.408241,2.7513747,-10.347285,-5.377873,-16.778484,-3.6772141,-10.291535,-2.0564759,-14.085091,-0.9721729,-13.103902,0.1916556,0.39840123,0.22004785,0.12498265,0.29803336,0.22079377,0.089370936,0.09405145,0.16645922,0.42559773,0.30858997,0.14953884,135.99917763157896
sad,0.11440603,0.06674936655405406,2445.877832344033,6203.516284839527,-157.20941,70.18098,38.270477,42.757294,20.950663,12.680828,8.042984,13.87305,1.0121627,16.15723,0.6496477,3.70392,3.0437324,0.37451738,0.46591786,0.4311017,0.3781784,0.40970662,0.45873132,0.48390904,0.47001827,0.4924004,0.40497828,0.4151802,0.41523555,89.10290948275862
sad,0.10151131,0.11092845077220077,2834.0865862172764,6585.00316722973,-136.75577,56.419968,29.748997,50.80223,15.300339,10.012759,11.02039,11.227078,-0.23952906,20.617153,9.383661,4.69057,-5.2504473,0.35582954,0.58412296,0.4266192,0.49840626,0.5016022,0.54241794,0.50741184,0.33397064,0.28865677,0.25918937,0.31918648,0.26040474,89.10290948275862
sad,0.121754356,0.10864352075289575,2913.6670924776117,6713.537267736487,-110.36343,59.13844,27.207043,41.44804,8.303059,8.413165,10.028441,7.6644707,2.8265266,13.818011,-1.6399125,2.2739532,3.9931824,0.3387064,0.38510877,0.36096713,0.42213726,0.40705305,0.4364797,0.42452803,0.36526573,0.37396577,0.28863555,0.35574466,0.37733948,89.10290948275862
sad,0.12255288,0.1009403655888031,2726.14812277941,6567.6685230152025,-93.018776,74.523186,22.748478,26.54787,4.035741,9.958386,15.163821,4.7981043,0.33953142,14.907636,3.602153,3.817823,-2.1826384,0.27982417,0.32419506,0.33984557,0.4294395,0.37668994,0.5471371,0.44308114,0.37566575,0.5230528,0.31313008,0.23638679,0.19865341,89.10290948275862
sad,0.11886565,0.09923986486486487,2675.516309583833,6384.5531566722975,-98.75256,73.40591,22.710443,31.191843,3.2284205,7.8952703,10.731542,7.022437,0.36549208,13.20901,0.6003407,5.1034036,-2.9733825,0.26669535,0.33023646,0.2971958,0.44731027,0.40483743,0.51937115,0.4898379,0.39800623,0.53110296,0.2434478,0.20270288,0.18133433,89.10290948275862
sad,0.14539705,0.07805524553571429,2136.0431889742053,4513.866527660473,-130.75441,106.61373,13.36362,20.912594,8.455841,6.526492,0.9704044,5.8185363,4.9643555,-0.8363922,-4.1452317,-1.7058241,-1.0033991,0.47463062,0.3143253,0.33415905,0.24486503,0.2540394,0.2278654,0.44263473,0.55151427,0.317207,0.28047317,0.25118506,0.41078252,95.703125
sad,0.15388235,0.059839904078185326,1895.4910858724784,4361.845439189189,-128.27638,112.28466,9.599174,21.023333,11.808601,4.9901824,7.2381234,8.10178,8.727973,0.6342344,-2.4218915,2.8125262,-5.8632436,0.35930353,0.29530874,0.42035565,0.27841812,0.28746414,0.16837473,0.18268047,0.2943055,0.25624847,0.48445985,0.23082262,0.31199634,95.703125
sad,0.20152518,0.06717920487451738,1921.5668559335772,4238.4660050675675,-85.31678,104.81053,0.4579978,32.895016,5.670999,9.212515,7.63666,2.0935774,2.4028993,3.6630406,-1.7058055,2.3063314,0.39868152,0.50482875,0.42254722,0.6352109,0.37817863,0.3013091,0.21777274,0.26201385,0.4973977,0.29420584,0.23424877,0.24021758,0.46174592,95.703125
sad,0.24068339,0.10655088682432433,2523.226117574054,5251.150100295608,-35.984467,84.2329,4.750312,29.3076,4.7982826,1.4353058,8.318613,2.2864246,4.966283,3.2026043,-5.2913995,5.1736536,-3.3635998,0.36953166,0.36938354,0.5928339,0.36398527,0.27437222,0.19305666,0.28200173,0.435255,0.25431588,0.25487378,0.27006796,0.4070734,95.703125
sad,0.24947266,0.12758468569015444,2397.778756378782,4613.551124366554,-25.584969,91.82253,-12.768697,24.566877,11.768931,-4.4757557,7.396109,-3.5509384,8.923983,5.38849,-7.490602,2.4945343,-3.1208317,0.17954123,0.20392925,0.38387012,0.18158412,0.25724515,0.20242663,0.35465845,0.57041204,0.25863147,0.32586995,0.22418498,0.3340767,95.703125
sad,0.23876213,0.1141239593388031,2549.5267163883645,5690.543839738176,1.4742824,85.94725,-9.306763,4.1482716,-2.006908,8.073898,-3.1239579,11.664422,2.4532616,8.496148,-6.8071156,-7.6669917,-7.929022,0.33882406,0.15398999,0.15714075,0.16400202,0.1733118,0.21481667,0.3143465,0.44420743,0.33009705,0.29346606,0.44683266,0.5818526,143.5546875
sad,0.25424024,0.11525511281370657,2679.2723570088615,5902.384000211148,-1.6100271,79.32849,-5.8092628,3.3180728,-3.9088998,8.7645035,-1.0572078,14.609184,5.497921,10.635526,-6.7828093,-7.380406,-6.9607124,0.3452737,0.123474725,0.16528137,0.23981717,0.36437783,0.23900728,0.1884667,0.21279427,0.31432202,0.26215702,0.3853246,0.64822847,143.5546875
sad,0.24600437,0.12075063344594594,2651.9478218450454,5801.992715371622,-2.6018462,80.33178,-4.8407836,14.349742,-3.8120396,6.228888,-5.91368,8.861528,3.757314,8.8446,-5.3649416,-0.8626968,-2.103363,0.35843927,0.17890069,0.206892,0.21861073,0.30610862,0.3457956,0.32340822,0.3852426,0.21321964,0.26281908,0.36665592,0.5636007,143.5546875
sad,0.22087397,0.11036852980212356,2320.675810636554,4956.710567989865,-17.391201,96.00849,-11.226319,29.249836,-11.671751,2.7194946,-7.639374,3.3324387,2.1912813,7.8449597,-3.069928,6.330172,-2.0151315,0.48547965,0.26868352,0.37204722,0.39934766,0.5217711,0.36592886,0.28866547,0.4510589,0.31334928,0.16857637,0.19640996,0.46593052,143.5546875
sad,0.23451357,0.10316496742277992,2330.5722925977584,4990.673168285473,-10.032251,94.56713,-11.060428,24.85486,-10.021735,1.9433484,-7.0855474,4.783538,5.879873,11.034001,-1.7277961,5.596795,-1.6463037,0.3532236,0.22268815,0.31204057,0.39725515,0.52618337,0.45395517,0.38659286,0.40952528,0.32282177,0.2122848,0.23348616,0.44355834,143.5546875
sad,0.076408766,0.07793647442084942,1887.2975499409326,4148.1762035472975,-182.32504,103.69585,-1.2840999,25.193758,-22.060562,-5.144508,-5.95673,-10.378741,3.4451914,-2.0548625,-9.241034,1.8883479,-14.13023,0.0999643,0.22840263,0.21523376,0.260475,0.2808701,0.24565206,0.5446331,0.22474004,0.30294743,0.22092761,0.13539076,0.11174706,92.28515625
sad,0.06356997,0.06709625361969113,1853.5666623874504,4148.550332559122,-187.00519,110.076904,3.0080638,17.979967,-12.818755,-3.0319078,-9.170814,-5.8515162,-3.448171,-1.7486689,-7.4306884,-0.05242372,-11.837086,0.2349551,0.44314304,0.4726448,0.50250554,0.34813043,0.23270419,0.12703454,0.15238123,0.32206526,0.30349052,0.2747228,0.3027257,92.28515625
sad,0.10279285,0.06430607504826255,1986.4599204358876,4611.347920185811,-140.62323,98.720856,9.873977,29.59611,-8.149003,-1.7810516,-6.1817017,-2.151634,-0.6471859,2.5618908,-0.3119464,0.86333287,-13.111258,0.2714682,0.6268745,0.23325539,0.18918501,0.1399658,0.21472584,0.24138431,0.3108835,0.65203404,0.33261743,0.11069599,0.117858954,92.28515625
sad,0.07315249,0.046524342422779925,1462.7958472338796,3162.886665962838,-204.5127,123.65577,10.212982,26.416828,-6.9355836,-0.62626916,-6.1823974,3.0374389,-1.8979288,-0.38718942,-4.9564185,0.044171795,-7.3428907,0.20314668,0.39270616,0.34365496,0.3656922,0.42592895,0.34748763,0.4670938,0.29590175,0.35438102,0.3127458,0.23488809,0.2486246,92.28515625
sad,0.07668036,0.04978960545366795,1595.5093830776636,3575.052127322635,-186.78601,119.996315,10.240561,26.674458,-5.286397,0.2702132,-8.9155655,-2.028265,-1.2062694,0.9038624,-5.5680227,-0.09805734,-9.026656,0.34147078,0.64020574,0.5594037,0.48169824,0.24714139,0.19490336,0.12053937,0.22525646,0.48743895,0.3184683,0.21968049,0.29490077,89.10290948275862
sad,0.07842995,0.09389704995173745,1829.1749262842163,3523.7133129222975,-165.65286,111.79363,-45.79122,28.450735,-7.8481164,19.696207,-7.147905,15.998991,-19.321043,-5.4163275,-17.049484,-0.47604948,-16.500216,0.2253848,0.4292587,0.1987735,0.11517475,0.22986132,0.20105155,0.5294542,0.56561947,0.3373706,0.23653497,0.19665207,0.2500906,129.19921875
sad,0.07715096,0.08567544944498069,1810.7628953412507,3576.0498046875,-162.23442,116.15678,-40.827972,23.8817,-10.326145,22.758848,-8.918297,17.181952,-17.163446,-5.3262424,-19.16001,-2.892373,-17.847942,0.365751,0.33290598,0.47878408,0.3653377,0.44745088,0.31700182,0.348102,0.47646374,0.3377652,0.163068,0.1912415,0.3937913,135.99917763157896
sad,0.08919662,0.0728519395511583,1736.8371091386862,3548.3642578125,-155.15822,120.845665,-33.40203,24.22184,-9.862552,23.24645,-9.236818,16.49819,-15.9413,-4.541215,-22.719433,-2.4032342,-15.129557,0.38777655,0.37978125,0.5293407,0.49670398,0.4452907,0.14909086,0.13986506,0.21587965,0.17208153,0.14336446,0.26728925,0.49358216,129.19921875
sad,0.09409028,0.0700165148407336,1666.2071112108026,3415.7563080658783,-154.7688,124.89434,-30.942234,22.011194,-10.133622,20.731749,-10.572916,13.534006,-13.283937,-2.9975274,-19.948023,-0.7528431,-16.245327,0.5528491,0.4916257,0.40946472,0.32759696,0.32381395,0.25157103,0.17039579,0.34095505,0.23824702,0.18404579,0.20237802,0.3429654,129.19921875
sad,0.098767035,0.07615867820945946,1664.6520603337449,3292.667863175676,-155.49017,124.52795,-32.886417,23.07376,-13.449679,20.498125,-7.6836023,16.341341,-15.106022,-2.6461253,-18.961817,0.15432398,-16.449,0.41226065,0.43462816,0.3966342,0.35631624,0.33111867,0.16572368,0.23120283,0.23795858,0.14105448,0.1237617,0.27880177,0.53849244,89.10290948275862
sad,0.039881874,0.0491203396476834,1357.3513721849754,2464.595650337838,-343.54623,135.37173,20.337282,11.24355,-2.4504046,-4.5345144,-27.558846,-17.038862,-7.5312934,-11.179049,-8.908831,-6.287754,-16.586124,0.280553,0.17570479,0.20279334,0.09675185,0.068006024,0.1900478,0.13250075,0.2752088,0.43465358,0.30882335,0.30092874,0.19597816,86.1328125
sad,0.0355799,0.03991840612934363,827.2933064494268,1191.309913429054,-369.79517,193.43173,26.585588,-9.460622,-10.944402,-15.547259,-15.800637,-7.4866595,-3.2445483,-4.7709374,-4.0164485,-6.332004,-17.539934,0.16152348,0.105011314,0.3055867,0.3886657,0.21989131,0.41947734,0.2309563,0.35869572,0.5195869,0.23323171,0.21109603,0.09608891,184.5703125
sad,0.034177255,0.0363609284507722,946.2353518545863,1522.123099662162,-371.6263,174.32768,39.80255,5.0516458,-8.83511,-12.39808,-12.970705,-5.070923,-4.8253865,-5.759074,-5.2422705,-5.7749996,-14.954679,0.1792893,0.10455151,0.26196337,0.22295147,0.254273,0.6439577,0.30662215,0.23496473,0.36657655,0.27210113,0.41197395,0.15824552,80.74951171875
sad,0.047620434,0.03005474782818533,1098.7444211734223,2043.2432432432433,-325.10876,137.64726,23.369946,36.062363,11.956907,-2.736229,-19.170294,-3.4325926,-4.838245,-13.96741,-11.752677,-3.8425708,-15.130365,0.41996214,0.17553511,0.14030509,0.28922814,0.13664387,0.029150764,0.090166375,0.3828469,0.3157851,0.18354453,0.3496904,0.28033465,161.4990234375
sad,0.046612862,0.03272992579633205,1167.6361881143482,2189.402977195946,-323.0993,135.93892,32.366734,33.611713,11.886818,-6.043851,-19.622732,-3.7804587,-5.4969263,-9.201626,-9.903786,-3.496967,-16.40279,0.2619619,0.14799847,0.26322013,0.18793808,0.21832721,0.482709,0.28910542,0.25180423,0.39502248,0.20645075,0.19020833,0.137816,89.10290948275862
